mirna,log2FoldChange,pvalue,baseMean,padj,rank_score
hsa-miR-486-3p,3.111760280861896,1.3278156636452848e-05,3.952644840961934,0.022355707858808777,4.876862212481846
hsa-miRPlus-F1008,4.535542090370853,2.39663794100459e-05,2.6133058236323894,0.022355707858808777,4.620397569679461
hsa-miR-940,2.592032156748928,4.5293945517676356e-05,3.0061825140179637,0.022355707858808777,4.343959846640482
hsa-miRPlus-F1127,4.648911547948578,4.923539346870407e-05,2.2335529199852893,0.022355707858808777,4.307722587030499
hsa-miRPlus-E1027,5.432017958995013,4.9308451278216486e-05,3.5802066502368004,0.022355707858808777,4.307078637945181
hsa-miR-451a,0.002359768906645243,6.795665664706993e-05,15.995511298757137,0.022355707858808777,4.167767995833686
hsa-miRPlus-F1108,4.422503364180198,6.822664328609144e-05,2.732281789980467,0.022355707858808777,4.16604599524785
hsa-miR-144-3p,0.002224047777634297,8.356059151534572e-05,15.995206930469188,0.022355707858808777,4.077998494362608
hsa-miRPlus-E1260,5.204059869064355,9.01439833016483e-05,2.633372864418267,0.022355707858808777,4.045063255143409
hsa-miR-1182,2.812207785905308,0.00017668052706208584,2.7630804781530856,0.027074019286162227,3.7528113138520998
hsa-miR-632,3.2869197084541772,0.0001903915747219062,3.1637618727695065,0.027074019286162227,3.720352274085706
hsa-miR-147b,3.5527843373848373,0.0001908985562691016,4.110579364411411,0.027074019286162227,3.719197356083722
hsa-miRPlus-F1039,4.748748466658579,0.00019867958868813413,2.6559617868572647,0.027074019286162227,3.7018467477640833
hsa-miR-302d-3p,2.6714617791164423,0.0002228652677272685,2.2046881877371662,0.027074019286162227,3.651957608548521
hsa-miRPlus-F1210,4.072941914392518,0.00027786973458263336,2.84934151860011,0.027074019286162227,3.5561587537607826
hsa-miRPlus-E1125,3.3465620518802752,0.00028315194616100364,1.4369558525003507,0.027074019286162227,3.5479804490327544
hsa-miR-508-3p,2.5586846622945307,0.0002836182679297971,3.807456135877143,0.027074019286162227,3.547265799562326
hsa-miR-224,2.9131624689689657,0.0002838405247742814,2.5707260981684703,0.027074019286162227,3.54692559890881
hsa-miR-1322,2.916776597968523,0.00040743517752476685,3.1324410861380496,0.03170671918969979,3.3899414771881946
hsa-miR-149-5p,2.354933899690325,0.0004148022193536129,3.7965767132921844,0.03170671918969979,3.3821589286319624
hsa-miR-651,2.085800791205827,0.00041569376790218755,5.008803830729033,0.03170671918969979,3.38122648640545
hsa-miRPlus-F1093,3.7552358958245904,0.0004217795485984538,2.417824421897444,0.03170671918969979,3.3749144823162345
hsa-miRPlus-F1202,4.291718608188782,0.00042870388768909243,4.070145610882551,0.03170671918969979,3.3678425780842716
hsa-miRPlus-E1201,4.454458161595985,0.00043191594653076495,3.5908608348703805,0.03170671918969979,3.3646007613091373
hsa-miR-526a/hsa-miR-520c-5p/hsa-miR-518d-5p,3.335772384753567,0.0004474738595320535,3.217611532763297,0.03170671918969979,3.3492323301638818
hsa-miRPlus-E1113,3.760336451383379,0.0005111679218022468,2.9758765087047268,0.03279150775648044,3.291436408021398
hsa-miRPlus-F1097,4.089651849848366,0.0005286499390035289,3.696423495592724,0.03279150775648044,3.276831813566698
hsa-miR-1207-3p,2.1987744770389535,0.0005401215006220575,4.952890080645239,0.03279150775648044,3.267508534409857
hsa-miRPlus-E1184,3.2145790311777684,0.0006020078949214049,1.9576772492798875,0.034774113202070564,3.2203978132300186
hsa-miRPlus-E1150,4.50545478341207,0.0006265635784159888,3.2591094097031896,0.034774113202070564,3.2030348538728957
hsa-miRPlus-E1023,3.569089940984003,0.000721210317841128,2.7148071374026834,0.037262533088458276,3.1419380687640923
hsa-miR-141-3p,2.3403251556935767,0.0007591792719591842,3.5624213743677537,0.0379709193007711,3.1196556580578956
