probe,log2FoldChange,pvalue,baseMean,padj,rank_score
42488,3.443856457087485,3.940113371585173e-06,4.224591641835575,0.016792763189696008,5.404491281741564
43000,4.2017789779627694,9.39295535481295e-06,2.2477821647699487,0.018247998999682217,5.027197741881932
11218,3.411316691705108,1.2844673157918033e-05,3.1440329936455345,0.018247998999682217,4.8912769421970586
46460,4.535542090370853,2.39663794100459e-05,2.6133058236323894,0.02435586861561369,4.620397569679461
42713,4.767257613818853,2.8573285565009023e-05,2.197679243076474,0.02435586861561369,4.544039818395263
46815,4.648911547948578,4.923539346870407e-05,2.2335529199852893,0.026458066236272105,4.307722587030499
46804,5.432017958995013,4.9308451278216486e-05,3.5802066502368004,0.026458066236272105,4.307078637945181
17614,3.230411219214223,6.329830438597914e-05,2.439542620207837,0.026458066236272105,4.198607923563621
42866,0.002359768906645243,6.795665664706993e-05,15.995511298757137,0.026458066236272105,4.167767995833686
46409,4.422503364180198,6.822664328609144e-05,2.732281789980467,0.026458066236272105,4.16604599524785
42677,3.035057325399985,6.828689080220394e-05,2.7967730469066723,0.026458066236272105,4.16566266086757
29802,0.002224047777634297,8.356059151534572e-05,15.995206930469188,0.02744240405940179,4.077998494362608
46653,5.204059869064355,9.01439833016483e-05,2.633372864418267,0.02744240405940179,4.045063255143409
42548,4.296780657059234,0.00013345923776791785,1.9068606991674224,0.033647853368435864,3.874651359884862
42846,2.9639484581158255,0.00014286268089504152,3.806227311563888,0.033647853368435864,3.8450812043654827
42589,4.789656404859951,0.000153184867161533,3.2300090289918786,0.033647853368435864,3.8147841357011565
46489,2.8797402039297433,0.00015801976214142662,2.8411470522805513,0.033647853368435864,3.8012885962590244
46738,2.812207785905308,0.00017668052706208584,2.7630804781530856,0.033647853368435864,3.7528113138520998
17444,3.2869197084541772,0.0001903915747219062,3.1637618727695065,0.033647853368435864,3.720352274085706
46841,4.748748466658579,0.00019867958868813413,2.6559617868572647,0.033647853368435864,3.7018467477640833
42804,2.5809989035576755,0.00020526611627858573,4.604016474486536,0.033647853368435864,3.6876827346417342
27838,2.6714617791164423,0.0002228652677272685,2.2046881877371662,0.03392327753762923,3.651957608548521
46278,4.072941914392518,0.00027786973458263336,2.84934151860011,0.034536601654765575,3.5561587537607826
46257,3.3465620518802752,0.00028315194616100364,1.4369558525003507,0.034536601654765575,3.5479804490327544
11140,2.5586846622945307,0.0002836182679297971,3.807456135877143,0.034536601654765575,3.547265799562326
42991,3.8646551827292086,0.0003604626663601109,3.0735506992259927,0.03973194977761691,3.443139709123213
17378,2.781783014805435,0.0003697479793690198,3.532889914104768,0.03973194977761691,3.432094190694917
42566,2.806029919310154,0.0004067402317621324,2.582016988800997,0.03973194977761691,3.3906828682441943
46408,2.916776597968523,0.00040743517752476685,3.1324410861380496,0.03973194977761691,3.3899414771881946
42810,2.354933899690325,0.0004148022193536129,3.7965767132921844,0.03973194977761691,3.3821589286319624
17394,2.085800791205827,0.00041569376790218755,5.008803830729033,0.03973194977761691,3.38122648640545
46846,3.7552358958245904,0.0004217795485984538,2.417824421897444,0.03973194977761691,3.3749144823162345
46563,4.291718608188782,0.00042870388768909243,4.070145610882551,0.03973194977761691,3.3678425780842716
46397,4.454458161595985,0.00043191594653076495,3.5908608348703805,0.03973194977761691,3.3646007613091373
42833,3.335772384753567,0.0004474738595320535,3.217611532763297,0.03973194977761691,3.3492323301638818
46595,3.760336451383379,0.0005111679218022468,2.9758765087047268,0.039945257032975336,3.291436408021398
46535,4.089651849848366,0.0005286499390035289,3.696423495592724,0.039945257032975336,3.276831813566698
46345,2.1987744770389535,0.0005401215006220575,4.952890080645239,0.039945257032975336,3.267508534409857
45883,3.2145790311777684,0.0006020078949214049,1.9576772492798875,0.04074613374282205,3.2203978132300186
46370,4.50545478341207,0.0006265635784159888,3.2591094097031896,0.04074613374282205,3.2030348538728957
42636,2.930493797730676,0.0006289116233339966,3.2950317122664097,0.04074613374282205,3.201410378712113
42665,2.2625289844624423,0.0006740215891771719,4.560177754509906,0.041370995680140354,3.171326192618458
46375,3.569089940984003,0.000721210317841128,2.7148071374026834,0.04269164409220678,3.1419380687640923
10946,2.3403251556935767,0.0007591792719591842,3.5624213743677537,0.044091123054676995,3.1196556580578956
46834,3.9607511344553,0.000765542727838127,3.0974825361592013,0.044091123054676995,3.1160305646698885
14305,3.020861909122548,0.0008043511468020016,3.411468396964411,0.04413019544379814,3.094554314652385
46850,3.0275534405310296,0.0008056109837684075,4.492584890713171,0.04413019544379814,3.0938746212063113
42945,2.1739385040013786,0.0008068958437119878,4.204960686989085,0.04413019544379814,3.0931825215610886
31038,2.5719229719874397,0.0008154806241236556,2.8487515426284635,0.04413019544379814,3.088586353368213
11255,2.5469043531507785,0.0008772577401254272,3.481546434782736,0.04413019544379814,3.056872791275642
146067,2.3577644169659937,0.0009092126664898448,1.7876184965938255,0.04413019544379814,3.0413345226299455
17569,2.6665012461459896,0.0009187788330785477,1.3465231471375871,0.04413019544379814,3.036789018682797
14258,2.1614000867625442,0.0009413871426657524,4.059211377982328,0.04413019544379814,3.026231737522353
17655,2.4427114003205053,0.0009590222696673173,4.6692521520102686,0.04413019544379814,3.01817130786444
46338,2.360124218123328,0.0009679848538836404,5.483287040615582,0.04413019544379814,3.014131438069932
10618,3.7418797569073865,0.0011086241497462567,3.5298456020696536,0.0474746558305434,2.955215665174097
