gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000047220,1285.3356164524673,5.156839233758593,0.32431204748877945,15.90085620836213,6.250460634084819e-57,2.2794132667092713e-54,56.204087975700794
ENSMUSG00000054836,1069.8704414160504,2.4274476603783888,0.18827084675629252,12.893380479244364,4.904585154729954e-38,2.9167945190960166e-36,37.309397720726615
ENSMUSG00000039883,498.6857991234576,2.370422968594729,0.18501090489369085,12.812341899288574,1.398491334293075e-37,8.092826499765434e-36,36.85434022037602
ENSMUSG00000035934,366.75934158083254,0.9805120834830356,0.07903794418373782,12.405586881203037,2.43720423000371e-35,1.214079467977106e-33,34.61310807678683
ENSMUSG00000098078,61.820283425965115,4.745769420053463,0.3870102512703144,12.262645251581963,1.4373006407825105e-34,6.792211927883708e-33,33.84245238080343
ENSMUSG00000037369,1073.9031350561058,0.8254764351553803,0.06778656423368777,12.177581862825031,4.092359817815778e-34,1.8437559570802647e-32,33.388026188248766
ENSMUSG00000009545,1116.7713240093335,1.0287780137370368,0.08457201900476989,12.164519965864992,4.802602506145334e-34,2.1537053651688404e-32,33.31852335684041
ENSMUSG00000005836,2134.5100256610717,1.0098577222236653,0.08551823594442008,11.808682803981023,3.5203298799826615e-32,1.388590528985814e-30,31.453416638128836
ENSMUSG00000047045,1206.4519682513414,1.0552162819109954,0.09182746890865008,11.491292251131565,1.4591272314298139e-30,5.146405922893774e-29,29.835906837305487
ENSMUSG00000000088,16289.532869514893,0.7860742871894992,0.06959115341998298,11.295606532708788,1.3794838491097228e-29,4.565524629382315e-28,28.860283379841256
ENSMUSG00000052854,41.72412907501753,1.3895406866218185,0.12416125438674114,11.191419525238011,4.4918414272299265e-29,1.4139790082328994e-27,28.34757558377625
ENSMUSG00000060187,3764.9306172888205,1.1701706450008242,0.10548533135437867,11.093207273242838,1.353463880304098e-28,4.106711126925841e-27,27.8685533296932
ENSMUSG00000018395,564.5034099365304,0.9474029549935756,0.0854757165592673,11.083884325633745,1.5021128699972741e-28,4.5222488397674944e-27,27.823297432860954
ENSMUSG00000015202,1129.8369222952858,0.7829592077451517,0.07176623852765761,10.909854324375818,1.0342194432275638e-27,2.880316051686218e-26,26.98538730179208
ENSMUSG00000029093,801.3780991613802,1.4497461244812775,0.13371418834025747,10.842126347820045,2.173593985972407e-27,5.908751696325552e-26,26.66282157622
ENSMUSG00000038417,1272.9057064537378,0.46274664707079816,0.042808800317594944,10.809614930521743,3.0996845412855207e-27,8.33250386842372e-26,26.508682502601264
ENSMUSG00000081485,2477.4185022697616,1.02787179142438,0.09512024801610026,10.80602514041385,3.2233617623094255e-27,8.65293557526619e-26,26.491690950287232
ENSMUSG00000022197,3525.180898943638,1.2912615875334872,0.11993543333760533,10.766306099872295,4.9652450749514875e-27,1.320058553076511e-25,26.304059310698843
ENSMUSG00000049881,464.34999423503604,0.7240838022215413,0.067396386823418,10.743659064671792,6.347759544470568e-27,1.6737994062145587e-25,26.19737953284464
ENSMUSG00000078429,4933.858492000465,0.5279161902776199,0.04914248300556892,10.742562402021798,6.423633189450759e-27,1.6914983962630008e-25,26.1922192666624
ENSMUSG00000022505,1670.7765837017837,0.8048498422355915,0.07497688357367538,10.734639849957391,6.999134453757399e-27,1.8380335695954214e-25,26.154955663585593
ENSMUSG00000048920,1611.4218306634534,0.6288836173819503,0.05880425703154984,10.694525347791398,1.0797104614568628e-26,2.7714002389161013e-25,25.96669269067061
ENSMUSG00000031226,260.35611585305475,0.4311434216316936,0.0406124543852977,10.6160395415002,2.5098497692634556e-26,6.308241396661127e-25,25.600352273073746
ENSMUSG00000032431,633.0107634486587,0.869924775408058,0.08226519597228796,10.574639312852337,3.906778326800811e-26,9.705682712134456e-25,25.408181230233726
ENSMUSG00000020483,11997.363616151708,0.6022108009470185,0.05697396867052156,10.569928951756586,4.108057356786213e-26,1.0179555460508196e-24,25.386363501403423
ENSMUSG00000060860,1341.6477359832722,0.5705258364728268,0.0542076573751947,10.52481999957995,6.638821221550203e-26,1.6099766194494644e-24,25.177909026418547
ENSMUSG00000039639,199.85236741387266,1.5520363488221616,0.14757572876410774,10.516880802960577,7.22251391014783e-26,1.7406078410889933e-24,25.14131161305668
ENSMUSG00000038503,1133.9716738704044,0.25829336692794846,0.024619769932597436,10.491298969693418,9.471716091925839e-26,2.2545483820781112e-24,25.023571328099816
ENSMUSG00000041117,250.42103778670034,0.8968577017625707,0.08551777146477245,10.487383925012775,9.872401033315841e-26,2.3412732168334795e-24,25.005577211189824
ENSMUSG00000032436,237.07665009091824,0.7472545392880419,0.07128158577213597,10.483135738264457,1.0326201844099259e-25,2.442898766741132e-24,24.986059390142778
ENSMUSG00000048696,271.9573615362822,0.716613422985517,0.06838764003189303,10.478697943829026,1.0822342255202459e-25,2.5540199158553494e-24,24.9656787356783
ENSMUSG00000024007,647.6499521442826,0.5545860615012831,0.052930955045164305,10.477537407516499,1.0955940135429951e-25,2.579249828716079e-24,24.960350349448696
ENSMUSG00000026466,5221.263553786861,0.3542322688709727,0.03416554722347264,10.368113425901917,3.462938102856774e-25,7.911544639718172e-24,24.460555271034423
ENSMUSG00000036620,2150.1676001404694,0.3772756898798712,0.03646055896481779,10.347501535670892,4.295491097033238e-25,9.710321862392798e-24,24.366987176759604
ENSMUSG00000097096,429.76255243409923,0.5007485848277174,0.04845833481481068,10.333590428589591,4.9666003362897305e-25,1.1123343140186317e-23,24.30394078639646
ENSMUSG00000024851,429.76255243409923,0.5007485848277174,0.04845833481481068,10.333590428589591,4.9666003362897305e-25,1.1123343140186317e-23,24.30394078639646
ENSMUSG00000008855,3678.1803961709616,0.405291776496178,0.039279859742210765,10.318055592765903,5.839370604363396e-25,1.2972799430015599e-23,24.23363396072707
ENSMUSG00000090946,467.3424836358325,0.6367207774924031,0.06217210776321604,10.241260919082386,1.2953700050168308e-24,2.791182994087548e-23,23.887606163485994
ENSMUSG00000024914,3828.2280313549977,0.6134113063252854,0.05992487000602329,10.23633937401331,1.362960270288877e-24,2.9270329004603795e-23,23.865516803479917
ENSMUSG00000031609,170.59240698329845,0.7179693702511806,0.07053314389515865,10.179177200981986,2.4562944033209857e-24,5.1885528117363947e-23,23.609719581311346
ENSMUSG00000037211,830.7098292523301,0.977746302361415,0.09761486965963749,10.016366418053014,1.2916453714723367e-23,2.571052702349879e-22,22.888856707976657
ENSMUSG00000006191,491.59094685057545,0.38273065193806116,0.03834281478350749,9.981808954273388,1.830977820344258e-23,3.6037820072926494e-22,22.73731691651777
ENSMUSG00000040794,64.84395146658412,1.0536662227929876,0.10565155346247634,9.97303104650716,2.0002935689348413e-23,3.921892706243374e-22,22.698906261329917
ENSMUSG00000110961,64.84395146658412,1.0536662227929876,0.10565155346247634,9.97303104650716,2.0002935689348413e-23,3.921892706243374e-22,22.698906261329917
ENSMUSG00000032330,7077.693552355483,0.5607678842422791,0.056502336005919335,9.924684957866726,3.2512782449127593e-23,6.228018425933976e-22,22.487945861922107
ENSMUSG00000030869,7697.7167065250605,0.7170723181022358,0.07234731481877826,9.91152636277407,3.709353448684064e-23,7.084425242704111e-22,22.43070178260569
ENSMUSG00000029287,2130.112900854432,0.7684995344666745,0.07753805982062172,9.9112556626325,3.71941867576597e-23,7.096636146614478e-22,22.429524932600767
ENSMUSG00000037499,978.6779434850297,0.8951980063534422,0.09061829597392854,9.878777753788224,5.145668180399931e-23,9.702973130806816e-22,22.288558222802624
ENSMUSG00000028563,627.6307940355069,0.3645592599876237,0.03705215534135347,9.839083762577864,7.640345797903813e-23,1.4158447131532588e-21,22.11688698504696
ENSMUSG00000030317,982.6911336598479,1.3481034673189514,0.13724617282046506,9.822521383400884,9.006224058199299e-23,1.6578314152083432e-21,22.04545725279512
ENSMUSG00000038502,2401.7941719733435,0.40558032628794444,0.04141080678993655,9.794069657838847,1.1939141752115816e-22,2.1769786017442876e-21,21.92302689144089
ENSMUSG00000107104,138.89693355871182,0.831835199672729,0.08497662471452924,9.788988471443753,1.255455372082148e-22,2.2799972690710625e-21,21.901198720627633
ENSMUSG00000033768,138.89693355871182,0.831835199672729,0.08497662471452924,9.788988471443753,1.255455372082148e-22,2.2799972690710625e-21,21.901198720627633
ENSMUSG00000022018,624.8863379712751,1.245339452143477,0.12721929503771054,9.788919611402749,1.2563105813124388e-22,2.2799972690710625e-21,21.900902982353582
ENSMUSG00000066687,2948.2653102346144,1.8917965156304521,0.1932809609128531,9.787805827825064,1.2702236150001658e-22,2.303084618266717e-21,21.89611981745986
ENSMUSG00000015579,1668.0766432375012,1.0971555175980632,0.11229139501144354,9.770610806698526,1.505417085389118e-22,2.7117149512023183e-21,21.82234315934724
ENSMUSG00000020955,1022.3364647051961,0.7719647389852673,0.0792745218587096,9.737866856657103,2.078719504271051e-22,3.6995847678223646e-21,21.68220410901666
ENSMUSG00000059852,3116.42283852252,1.0343749564468514,0.10642820420856988,9.718992856628137,2.502443282624963e-22,4.425180582486302e-21,21.601635756934417
ENSMUSG00000010721,522.9893486280996,0.4432117299189575,0.04562994364995012,9.713177235524418,2.649468716913222e-22,4.680889521069356e-21,21.57684120396704
ENSMUSG00000025262,723.9446814796275,0.5259681866697187,0.054175262362447914,9.70864124571916,2.7700500946102247e-22,4.8805404037034116e-21,21.557512376922528
ENSMUSG00000019659,809.5124117582279,0.3912227112165533,0.04036644707080273,9.69177967360736,3.2678404287861764e-22,5.7210887506865236e-21,21.485739158562392
ENSMUSG00000037815,16964.55194916719,0.6170530951823616,0.06380667096072049,9.670667437926998,4.017493223653805e-22,6.96413533872473e-21,21.396044847092867
ENSMUSG00000026500,457.1399753306641,0.47353949513222043,0.049031279620097123,9.65790611220606,4.550698940868426e-22,7.832226992796522e-21,21.34192189502413
ENSMUSG00000111742,457.1399753306641,0.47353949513222043,0.049031279620097123,9.65790611220606,4.550698940868426e-22,7.832226992796522e-21,21.34192189502413
ENSMUSG00000035150,4680.703380666148,0.5546179958658717,0.05746484905376404,9.65143048312842,4.847474925599588e-22,8.32078111562956e-21,21.314484428706585
ENSMUSG00000063605,186.30923586618908,0.8286580744350758,0.08586309314750397,9.650922696338535,4.871540521766345e-22,8.35467038196095e-21,21.312333680611584
ENSMUSG00000038437,4446.921443529531,0.6211597392059677,0.06451255624243174,9.628509167606248,6.060230554729795e-22,1.0283769636682834e-20,21.217510853268983
ENSMUSG00000030706,1351.4570060372846,0.293164012648029,0.030489793353524718,9.615152495421498,6.900702112806337e-22,1.1638461643658017e-20,21.161106719667863
ENSMUSG00000040128,2554.50213422514,0.6519053321826406,0.06791469441781238,9.598884862414423,8.081399582742274e-22,1.3558792633267593e-20,21.0925134191233
ENSMUSG00000001151,4250.378519705208,0.7552455864299351,0.0790058065852692,9.55936809043036,1.184778773285149e-21,1.9572140282098597e-20,20.926362735317124
ENSMUSG00000020844,326.9012007859843,0.9317653206342678,0.09832329783561222,9.47654666945871,2.6283760372840857e-21,4.188066945476241e-20,20.580312500895133
